Review,Total
잘먹었습니다~.,5
맛있읍니다.또 시킬게요~~^^,5
아파서 죽 시켜먹었는데 맛도 깔끔하고 양도 부담없고 두그릇에 나눠담아오니 좋으네요 앞으로 자주 시킬게요,5
"제가 급하게 먹느라 사진을 못남겼는데, 리뷰 이벤트 목적이 아닌 정말 좋아서 리뷰 쓰는 건 처음이네요 ㅎㅎ 어제 새벽에 복통이 너무 심하고 위가 쓰려서 오늘 속 편하게 죽만 먹었어야 해서 주문했는데, 저 죽 원래 아예 안좋아하는데도 다 먹었어요.. 진짜 고소하고 자극적이지도 않고 같이 주신 반찬도 잘 먹었어요 사장님 번창하세요!",5
배달예상시간에 이미 먹고 치웠네요 딸이 장염이라 평소에 죽은 본*만 알았는데 오늘보니 소량포장도 있고 너무 좋네요 딸도 맛있게 먹었네요 포장도 깔끔하고 너무 좋네요 만족합니다^^,5
잘 먹었습니다 반찬도 맛있어요,5
일반 체인점과는 다른 사장님만의 맛인듯 합니다. 부담없는 맛으로 깔끔합니다,4
맛은 있어요. 근데 영수증이벤트는 바꾸셔야하지않을까요 이게 랜덤이라 계란찜 그냥 안시켰어요 주문을해야 주문번호가 나오는건데....계란찜 시켰다가 영수증에서 당첨되면 괜히 시키게되는거잖아요 이부분 개선해쥬세용,4
우리애가 아주 맛있게 먹었어요,5
맛있게 잘먹었습니다,5
양은 적당했으나 내 입맛엔 종 단편이었음,2
일단 죽에 야채랑 잡곡이 많이 들어있어서 좋았어요~ 양이 많진 않지만 어차피 속편하라고 먹는거니 나쁘지 않아요 쭉 이용할듯요^^,5
쭉맛쉬써요오오옹 ㅎㅎ홓,5
맛나게 잘 먹었습니다.,5
존맛탱^♡^맛이씅ㄱ,5
양도 푸짐하고 2개로 나누어서 포장되어 좋습니다.,5
맛있게 잘 먹었습니다.^^,4
그동안 소스많이 요청한적없는데 저번에 싱거워서 오늘 소스많이부탁드리니 맛있었어요.,5
두아이 입맛이 달라 두가지 시켰더니 셋이 먹기에는 많네요~^^ 항상 맛있게 잘 먹고 있습니다~,5
언제나 만족 교촌허니콤보 교촌레드콤보 매우만족~^^*,5
마시써요 마시써요 흥,5
너무맛있어요오오! 또 시켜먹어야지,5
소스도 많이 묻어있고 배달도 빠르고 맛있어요,5
늘 먹던 치킨 간장소스 무난해서 아이들과 잘먹네요,4
저번에 허니콤보없어서 아쉬웠는데.. 오늘 맛있게 먹었네요.. 역시 허니콤보가 찐이네요ㅎㅎ,5
역시 맛있어요 오늘 안짜고 너무 맛있어요!!!!!,5
맛있게 먹어요~~^^,5
맛있게 잘먹었습니다,5
맛있게 먹고 있어요~,5
맛있게 잘 먹었습니다,5
역시 치킨은 교촌이지요 반반 윙봉이 좋긴한데 없어서 ㅎ,5
주인바껴서 맛이 덜하지만 교촌은 사랑이에요ㅎ,5
잘먹었습니다 감사합니다,5
오랜만에 주문했는데 맛있게 먹었어요.. 사진을 못찍었네요.. 다만 가격에 비해 양이 적네요.. 근데 허니콤보는 왜 없나요?,5
맛잇어요요요요용요ㅇ,5
맛잇습니다 이번에도 잘먹었어요,5
맛잇게 잘먹었습니다~ 다음에 또 먹을께요,5
매운걸 잘 못먹는편신데 레드맵기와 허니의 조화가 너무 좋습니다!,5
배달하는분이 연락 깜빡하셔서 좀 늦게 먹었지만 맛나네요,5
맛있게 잘 먹었습니다,5
"비오는날이라 1시간반걸린것은 이해하는데, 너무 탔고, 미지근하네요...",3
맛있게 잘 먹었어요,5
다 식어서오고..그냥..버렸었요 시간도 배달예상시간보다 늦었고요 완전딱딱,1
맛있게 잘 먹었습니다^^,5
"맛은 나무랄바 없는데, 양은 적네.",5
잘먹었습니다 .배달도 늦지않았어요,5
맛있긴 교촌이 젤 맛남,4
잘먹었어요.,5
역시 맛있어요 매장에서 먹는 것처럼 바삭해욯ㅎㅎ,5
배달도 빠르고 맛있게 잘먹었어요 ㅎㅎㅎ,5
다른 지점서 배달해 먹었었는데 율전점이 훨 맛나네요 단골바꿨습니다,5
오랜만에 먹었는데맛있어서좋았음,5
맛잇게 먹었습니다ㅋㅋ,5
넘 맛있어요^^ 넘 맛있어요^^,5
오늘도 허니스파클링으로 주셧네여 ㅠ,4
콜라 안주고 허니스파클링으로 주시네요 ㅜ,4
교촌은 언제나 맛나용ㅎ ㅎ,5
남편이 거의 다 먹어서 화가 머리끝까지 날 정도로 맛있는 허니콤보입니다~~^^,5
"맛있는 치킨, 굳~!",4
배달시간은 정확했으나... 상태가...치킨이 포장밖으로 도망가려 했습니다. 찝찝했지만 맛은 역시 교촌이네요.!너무너무 맛있어요.,4
역시 교촌 하니레드 세트네요!! 담번에도 꼭 시켜먹을게요,5
너무맛있어요 교촌허니콤보와 레드^^ 90분가까이걸렸지만 기다린보람이있어요^^,5
너무 맛있어요~~^^ 사진 찍는것도 잊어서~~^^;; 남은 치킨 사진 찍었어요~~♡,5
너무맛있는데 어떡하죠 진짜 너무맛있다 계속들어가길래 계속 먹었는데 지금 배터질것같아요 너무맛있어요,5
최고체고최고최고최고치곷고,5
굿...정말 맛있어요.,5
엄청 맛있게 잘먹었습니다!,5
레허반반 좋아요!!!!!!,5
정말 맛있게 잘먹고 있습니다... 지인들한테 권할꺼에요^^~,5
배달 빠르고 맛나요 좋아요,5
맛있어요~~~~~~~,5
너무 오랜만에 먹으니깐 받자마자 사진 더 찍을 시간 없이 다 먹었습니다. 다시 주문할게요,5
다른 지점보다는 레드가 덜 매운 것 같아요! 순살 처음먹어봣는데 저는 역시 콤보가 더 제 스타일인것같아요 그래도 존맛!,5
배달빠르고 맛있습니다,5
교촌치킨은 항상 맛있죠!,4
"다먹어서 사진은 못찍었지만, 언제나 맛있네요. 근데 윙수급은 언제 되는건가요 ㅠㅠ 윙 양이 많이 줄었네요",5
양이 적어서 둘이 먹기 좋았어요,5
반반 순살을 시켰는데 생각보다 양이 조금 적어서 아쉬웠어요 ㅠㅠ 그래도 다른건 다 만족스러웠습니다. 감사히 잘먹었어요^^,4
맛도 좋고 양도 적당해요~!!,5
젤사랑하는교촌ㅋㅋ 역시맛있어요 ㅠ 근데 늘 묻고싶던 질문이 .. 왜 요기요에서는 사이드로 음료메뉴가 없나요 ㅠ 콜라시키고싶은데 요기요로는 메뉴가 없어서 배민으로 주문하게 되요 ㅎㅎ 이번엔 할인하길래 요기요로 시켰어요 ㅎ 허니스파클링싫고 코카콜라 먹고싶음 ㅎㅎㅎ,5
순살이 훨씬 맛있네요. 3살 딸이 닭다리좋아해서 시켰는데 양념이 겉에만 있고 안의 살은 아무 맛이 안나요. 간장도 레드도. 속살은 '무'맛 이네요. 다음엔 순살 시킬래요.,3
잘 묵었어용 애들이 좋아하네용,5
음....평타요 소소.....,4
맛잇어요 좋아요 굳굳 좋습니다,5
교촌은 역시 맛있어용~^^,5
항상 뼈만 먹었는데 두가지맛 레허반반순살 고기가 안심+정육이라 맛있어요 양도 꽤 많습니다,5
배달빠르고 맛있습니다,5
이벤트로 맛나게 먹었습니다,5
역시 치킨은 교촌이지요 윙봉 반반이 너무 좋은데 순살도 맛있어요 ~~,5
배달도 빨리오고 이 메뉴는 진짜 최애입니다~,5
배달빠르고 맛있어요 !!!!!이벤트하길래시켰는데 순살이더라구요,5
이게 닭안심이라서 뻑뻑하다기보단 기름부분이 바삭하한게아니라 뭔가 딱딱해서 아쉬웠어요....,3
맛있게 잘 먹었습니다. 너무 맛있네요.,5
치킨은 역시 교촌치킨이죠,5
맛있어요~~애들도 교촌잘먹어서 자주시키게되요,4
맛있어요 사천원할인받아서 먹었어요!,5
맛있어요 맛있어요 맛있어요,5
맛있는데 평소보다 튀김이 좀 두껍네요,4
"먹다가 찍었지만, 순살이라 그런지 양이 많다고는 안느껴지네요. 그래도 맛있게 잘 먹었습니다",5
허니가 확실히 레드보다는 퍽퍽한 감이있네요~ 양이 조금 적은 느낌이 있긴 하지만~레드가 더 맛있습니다 ㅎㅎ 튀김옷이 얇고 바삭해서 좋아요~~,4
"어제 레허순살 할인이 있어서 시켰는데, 허니 처음 먹어보는데 허니도 맛있네요? 군데 살이 뭔가 레드가 더 뷰드럽고 기름기도 많아서 더 감칠맛이 있었어요 순살 모양도 다르더라구요 길쭉했어요 맛은 둘다 좋았습니다 허니가 이런맛일줄 몰랐네요^^ 잘먹었어용!",5
맛도 있고 양도 많아서 즐겨 먹는 지점이에요. 그런데 오늘 아쉽게 배달이 예상시간보다 더 늦었네요. 사전에 배달 지연 여부를 알려주시면 좋았을텐데 말이에요..,4
오늘은 허니순살이 너무 딱딱해서 씹기가 힘들었어요..ㅠㅠ왜그랬을까요,4
배달 너무늦어요.. 1시간도 넘게걸려서.. 매장에 전화하였더니 출발하였다해서 기다리는데.. 아직도 소식이 없습니다.. 짜증...ㅠㅠ,1
"아이들이 교촌 먹고싶다하여 시켰는데 평소 알던맛이랑 좀 다르네요. 양념이 바뀐건가.... 오리지날도,매운맛도, 허니콤보 순살도, 셋다 맛있는지는 모르겠어요.",1
맛있어요 바삭하고... 아이들이 좋아해요,5
양념이 따로놀고 교촌치킨 즐겨먹는데 이번엔 맛이 넘 없어요..,1
배달은 예정시간보다 늦었지만 깔끔하게 잘 도착했어요!! 맛있게 잘 먹고있어요~~,5
맛있어요 동네 주민이 맛있다고 리뷰 쓰는 거 알아주세요..☆ 교촌 포에버,5
언제먹어도 맛있어요,5
신랑이 치킨 좀 시켜달라고 하면 바로 이거 말하는거예요 ㅎㅎㅎ,5
맛있게 잘먹었어요~~ 다행히 다 먹어치우기전에 사진한장 건졌어요.ㅋㅋ,5
항상 잘 먹고 있어요~ 감튀 쿠폰은 더 이상 안주시나요? 2개 모았는데 ㅠ 안왔어요,4
맛있어요! 교촌만먹어요,5
아주 맛있게 잘먹었습니다,5
언제나 맛있는 순살 반반♥️ 오랜만에 먹으니 넘나 맛있었음!!,5
양념이 많이 발라져서 너무 좋아요... 잘먹었네요..,5
배달이 생각보다 빨라서 좋았어요.,5
맛있어요......,5
잘 먹었슺니다~ .,4
교촌최고! 맛있어요~,5
반반도 좋네요 ^^ 오리지널맛 먹다 레드먹다 하면서 맛있게 잘먹었습니다~~~~!!,5
맛있게 잘 먹었어요,5
언제나 변함없는 치킨 교촌치킨~~^^*,4
여기 주위 치킨집중에서 제일맛있는거같아요!! 바삭하고 너무맛잇어요진쨩,5
역시 허니콤보! 항상 맛있게 먹어요~~,5
항상 맛있게 잘먹습니다. 감사합니다,5
마니짜던대여ㅇㅅㅇ허니콤보라고해서 시켜봤는데달달?하지는않았던거같아요 글고제가!요청사항에 나무젓가락꼭챙겨달라고써서보냈는데 없더라고여!! 마니남겼어요..,4
배달 예상시간보다 늦게 왔지만 교촌은 역시 진리입니다♡ 맛있어요,4
유독 맛있었다.. 진짜존맛..여기잘해요..,5
"배달도 빠르고,맛도 좋은 교촌 율전점.오늘도 잘 먹었습니다",5
간 딱좋았어요 바삭하고~ 만족만족! 배달도 빠르구요 레드소스 굿굿 순살최고! 감사해요,5
맛이써요!! 와이프도 이 맛만 시켜먹고 우리가족 입맛에 딱 맞아요. 근데 닭이 좀 말른것이 약간 오래 된듯한데 양념이 맛나네요. 배달도 빠르고 좋았어요.,4
맛있었어요ㅋㅋㅋㅋ 따듯할때 배달 주셔서 감사해요! 레드가 옳다 순살이어서 남지않아서 더 좋다 ㅠㅠ,5
어제도 맛있었어요 다만 저번과는 닭이 달라서 조그맣고 튀김옷이 많았다는 아쉬움이 있지만! 맛은 좋았어요 꺄 레드소스 왤케 맛있쬬? 자꾸 생각나네요,5
시간 안에 옴. 까먹은 감자까지 바로 챙겨줌. 다음에도 또 시켜먹을 용의 충분.,5
배달이 너무 느린게 아닌가요,1
역시!! 교촌 맛도 좋고 배달도 시간 잘 맞춰 와주셨어요👍,5
배달사원 관리좀요...,1
"오우 배달 신속정확! 맛도 레드 소스 더 발라주시니 넘나 맛있는것! 소스가 살짝 더 두꺼워지니 쉽게 마르지 않아서 초크초크 하게 먹었어요 사장님말대로 간이 세져서 막판에는 짠맛이 돌았는데 암튼 기본대로 먹으면 바삭바삭하고 살짝 매콤해서 대중적인 맛이고, 소스 좀 더 바르면 맛이 선명해지면서 촉촉해지고 대신 짠맛도 상승한다는 차이가 있어요 둘다 좋음! ^^",5
맛있고 양이 늘어난듯해요. 혹시 음료는 다른걸로 바꾸면 더 나을것같아요.,5
역시는 역시더라구요.유명한게 맞네요.맛잇어요.살짝 느끼할때 엽떡이랑 먹으면 짱이에요.근데 저번에도 그렇고 바삭하다못해 오버쿸 된 느낌이 있어요. 고것만 개선되면 좋을듯...한참 식은거 5살딸냄이가 뚝딱했어요,4
역시 교촌은 반반윙봉이지요 전 반반윙봉이 넘 좋아요,5
배달빠르고 정확하고 맛좋고 ㅠㅠ 원래 교촌이 식으면 좀 뻣뻣해지는 맛이있지만 순살이어서 그런지 괜찮았어요 레드소스 넘나 맛있어요! 다음엔 소스 좀 좀 더 충분히 발라주시면 진짜 더 최고일듯!! 더 먹고싶네요 ㅎㅎ 맛있어용,5
빨리 오셔서 전달 해주셨어요 잘 먹었습니다~!,5
늘 맞있어요 여기서만 시켜먹어요,5
역시 믿고먹는 허니콤보 좀 짜긴 했는데 맛있어요,5
맛있네요 맛있어요 맛,4
가게새로생긴 초반에는 늘 기분좋게먹었는데 요즘은 시킬때마다 맛이 어떨지 걱정됩니다. 예전부터 교촌만먹었어서 아쉽네요. 오늘 배달온건데 튀김옷이 저렇게되어있어요. 위생상문제없다고해도 배달받은순간 기분이 안좋았습니다,3
이제는 애들땜에 2개씩 시켜서 먹어야하는데... 너무 맛있네요....,5
잘받았습니다 감사합니다,5
짜요. 많이 ;; 매번 짠 맛의 정도가 달라서 아쉽네요.,5
맛있고 배달도 빠르네요. 와이프가 매운맛을 잘먹네요 ㅋㅋ,5
교촌은 언제나 맛있어요,5
오늘 닭은 커요..,5
맛있어요 맛있어요,5
허니콤보는 역시 진리,5
맛있게잘먹었어요..,5
조아요 ! 교촌 맛잇어염~~!!,5
존맛...,5
믿고먹는 교촌인데 오늘따라 푸석푸석하고 윤기도 없고.. 실망했어요,3
역시 교촌!!!!!,5
한시간 5분 걸려 배달받았어요. 이리 오래 기다려본 치킨은 처음... 식어서 왔고.. 레드가 맛이 별로였어요.,3
엄청 맛있게 먹었는데 중간에 먹다가 머리카락을 발견했어요. ㅜㅜ 그래도 너무 맛있게 먹었습니다. 빠른 배달도 넘 감사합니다.,5
감사합니다 잘먹었습니다,5
맛있네요 깔끔하고 좋아요 사진은 아이것 덜어놓은 후 찍어서...,5
너무너무 맛있어서 또 시켜먹을거예요,5
진짜 넘 맛있어요 ㅠㅠㅠㅠ,5
이번주엔 교촌 율전1호점서 두번이나 시켰습니다.너무 맛있어서요. 배달도 예상시간보다 빠르고.감사합니다^^,5
불맛이 아니라 비린맛임. 완전 별로. 레드가 진리. 신화 절대 비추 ㅠ,1
맛있어요 굿굿굿 ~~~~~,5
빠르게 오고 맛있게먹었습니다. 감사합니다,5
소스가 덜 발린 부분이 있어 좀 아쉬웠어요 ㅠㅠ 튀김옷도 살짝 두꺼운듯 한 느낌이었지만 그래도 바삭해서 맛있게 잘 먹었습니다ㅎㅎㅎ 담에 또 주문할게욤,4
